src,dst,lag,strength,sign,mark
6,6,2,0.5163683058894217,1,-->
6,6,4,0.32970652991112176,-1,-->
6,22,2,0.3075336749353963,1,-->
6,3,2,0.274656586263788,1,-->
6,22,4,0.1627865594587819,-1,-->
22,6,4,0.1585629081863384,1,o->
19,3,5,0.1485513917601602,1,o->
6,3,4,0.1441192641483256,-1,-->
23,20,4,0.14354068841537115,-1,o->
23,20,2,0.14186727431935428,-1,o->
4,6,5,0.1247474222593449,1,o->
5,14,1,0.12120447958972225,1,o->
23,18,2,0.1210800960174136,1,o->
22,19,4,0.11646749876095217,1,o->
