true/pred,Walk,Run,Jump,Sit,Empty,Stand,Waving,Clap,Lay down,Wipe,Squat,Stretch
Walk,26,70,13,0,81,14,16,0,143,121,0,162
Run,35,127,0,0,125,0,21,0,156,18,0,164
Jump,15,19,22,0,42,0,15,0,42,414,0,77
Sit,13,27,17,210,62,29,1,83,44,122,8,30
Empty,0,0,41,0,291,0,5,0,271,0,0,38
Stand,0,0,0,197,0,116,0,248,0,0,0,85
Waving,1,7,133,0,65,0,73,47,166,25,2,127
Clap,0,0,57,0,2,62,0,502,3,0,7,13
Lay down,0,2,1,0,268,0,1,0,257,0,0,117
Wipe,0,42,0,0,14,0,3,0,408,179,0,0
Squat,0,0,29,7,0,172,0,229,1,0,89,119
Stretch,0,3,114,0,86,9,72,1,154,0,0,207
