src,dst,lag,strength,sign,mark
23,23,2,0.35339779810666894,1,-->
3,6,2,0.31436137947539167,1,-->
3,3,2,0.30121425594106044,1,-->
6,6,2,0.2653961277937803,1,-->
6,3,2,0.21015896359439934,1,-->
3,2,2,0.1873300155498855,-1,-->
3,5,2,0.17996729019436608,-1,-->
6,7,2,0.1570015191233112,-1,-->
6,22,2,0.15088218582304033,1,-->
23,18,2,0.1409812271586713,1,-->
23,20,2,0.13786372616433554,-1,o->
3,0,2,0.13584986837681778,-1,-->
3,2,4,0.13211116239421,-1,-->
21,13,1,0.13044916951217778,1,o->
12,1,2,0.11978457735364588,1,o->
23,7,2,0.11724799979983794,1,o->
12,23,2,0.1102625129785355,1,o->
