src,dst,lag,strength,sign,mark
6,6,2,0.23985590260357392,1,-->
23,23,5,0.17922933601169283,1,o->
3,3,2,0.1506364067607574,1,-->
6,3,2,0.14241839544836155,1,-->
6,6,4,0.13388861295238352,1,-->
6,22,2,0.1303020704742382,1,o->
5,21,2,0.12861316121445598,1,o->
3,10,4,0.1244358784326764,1,o->
6,0,2,0.11955868200778441,-1,-->
21,0,4,0.11935439466584113,1,o->
7,16,2,0.117206399520707,1,o->
3,2,2,0.11399109468453743,-1,o->
22,14,2,0.11292814288780169,1,o->
22,6,2,0.1127833111417121,1,o->
6,13,2,0.10888794646371697,1,o->
