src,dst,lag,strength,sign,mark
6,6,2,0.2633011209457933,1,-->
6,6,5,0.24297573219199556,1,-->
6,3,2,0.20032830420269745,1,-->
6,19,4,0.169947395113386,1,-->
23,23,2,0.16801386006893712,1,o->
3,3,2,0.16442999349158138,1,-->
3,6,4,0.1589499121989153,1,-->
2,7,4,0.15435393045878004,1,o->
6,22,2,0.1526099362945544,1,-->
6,3,5,0.1411379109337732,1,-->
6,22,4,0.1375826231022876,1,-->
23,7,2,0.1351719431083847,1,o->
6,6,1,0.12622191670578042,1,-->
6,12,4,0.1261720981127322,-1,-->
0,5,4,0.11700306530248727,1,o->
6,0,2,0.11513195231468412,-1,-->
6,0,5,0.11506783699673329,-1,-->
7,1,4,0.11351199783443794,1,o->
3,6,2,0.11268998670674173,1,-->
6,7,2,0.10965678547106603,-1,-->
13,20,2,0.1096040216102297,-1,o->
19,8,5,0.10936648996784075,1,o->
3,14,1,0.10921888643126809,1,-->
