src,dst,lag,strength,sign,mark
3,3,2,0.3590913627693162,1,-->
6,3,2,0.32480854300123835,1,-->
23,23,2,0.2833769104660704,1,-->
6,6,4,0.22283383400371326,1,-->
3,22,2,0.22045414570859184,1,-->
6,6,2,0.2074138677628895,1,-->
22,3,3,0.20202992312811383,1,-->
20,20,4,0.19013424139019855,1,-->
22,6,3,0.17842664406596925,1,-->
6,22,2,0.15461149492847964,1,o->
23,18,2,0.14258101914894167,1,-->
23,23,4,0.1424089087388467,1,-->
13,0,1,0.14030081496390379,-1,o->
17,23,2,0.13968608545210284,-1,o->
23,0,4,0.1331033362437586,1,-->
3,6,2,0.1308732247711914,1,-->
17,21,2,0.13084587240743326,1,o->
4,3,4,0.12936065294634158,1,-->
23,18,4,0.12478285173521564,1,-->
13,13,1,0.12424128039086077,1,o->
6,14,2,0.12402813647083125,1,-->
22,22,2,0.11927627373947731,1,o->
7,15,5,0.11779888813713235,-1,o->
3,20,4,0.1174948353000271,1,-->
3,0,4,0.11530397016801396,-1,o->
1,4,4,0.11328327076403645,1,o->
14,22,4,0.1130663477545594,-1,o->
6,3,4,0.11259970948462822,1,-->
13,2,1,0.11198691373240185,1,o->
20,20,3,0.1113476936731837,1,-->
23,6,4,0.11083023603852366,-1,-->
6,12,2,0.10992566383727166,-1,-->
